LandisData "ForC Succession"

ClimateTable
>>Time	Eco	AvgT
>>Step		(C)
0	1	5.253
0	2	5.105
0	3	5.46
0	8	5.692
0	10	4.539
0	11	4.788
0	12	3.952
0	13	4.258
0	14	4.668
0	15	4.895
0	41	2.904
0	42	2.916
0	43	3.466
0	44	3.397
0	45	3.437
0	46	3.457
0	47	3.801
0	48	3.841
0	49	3.957
0	50	3.112
0	51	3.032
0	52	3.867
0	53	3.761
0	54	4.083
0	55	4.04
0	56	3.259
0	57	3.104
0	58	4.53
0	59	4.583
0	60	3.688
0	61	3.655
0	62	3.55
0	63	2.537
0	64	2.761
0	65	2.613
0	66	2.814
0	98	2.623
0	99	2.648
0	108	2.643
0	109	2.583
0	110	2.562
0	111	2.358
0	112	2.358
0	113	2.17
0	114	2.173
0	115	2.172
0	116	2.188
0	117	2.15
0	118	2.185
0	119	2.135
