"landtype","spp","poolID","amountAtT0"
"365","ABIE.BAL","3",111
"365","ABIE.BAL","4",9
"365","ABIE.BAL","5",203
"365","ABIE.BAL","6",713
"365","ABIE.BAL","7",1613
"365","ABIE.BAL","8",108
"365","ABIE.BAL","9",40
"365","ABIE.BAL","10",0
"367","ABIE.BAL","1",34
"367","ABIE.BAL","2",4
"367","ABIE.BAL","3",82
"367","ABIE.BAL","4",6
"367","ABIE.BAL","5",130
"367","ABIE.BAL","6",496
"367","ABIE.BAL","7",1126
"367","ABIE.BAL","8",69
"367","ABIE.BAL","9",32
"367","ABIE.BAL","10",0
"368","ABIE.BAL","1",39
"368","ABIE.BAL","2",6
"368","ABIE.BAL","3",90
"368","ABIE.BAL","4",8
"368","ABIE.BAL","5",173
"368","ABIE.BAL","6",608
"368","ABIE.BAL","7",1394
"368","ABIE.BAL","8",95
"368","ABIE.BAL","9",32
"368","ABIE.BAL","10",0
"369","ABIE.BAL","1",29
"369","ABIE.BAL","2",6
"369","ABIE.BAL","3",58
"369","ABIE.BAL","4",7
"369","ABIE.BAL","5",141
"369","ABIE.BAL","6",439
"369","ABIE.BAL","7",1047
"369","ABIE.BAL","8",71
"369","ABIE.BAL","9",20
"369","ABIE.BAL","10",0
"370","ABIE.BAL","1",26
"370","ABIE.BAL","2",4
"370","ABIE.BAL","3",59
"370","ABIE.BAL","4",5
"370","ABIE.BAL","5",137
"370","ABIE.BAL","6",444
"370","ABIE.BAL","7",1028
"370","ABIE.BAL","8",78
"370","ABIE.BAL","9",22
"370","ABIE.BAL","10",0
"371","ABIE.BAL","1",12
"371","ABIE.BAL","2",2
"371","ABIE.BAL","3",26
"371","ABIE.BAL","4",3
"371","ABIE.BAL","5",75
"371","ABIE.BAL","6",213
"371","ABIE.BAL","7",508
"371","ABIE.BAL","8",42
"371","ABIE.BAL","9",9
"371","ABIE.BAL","10",0
"372","ABIE.BAL","1",39
"372","ABIE.BAL","2",6
"372","ABIE.BAL","3",81
"372","ABIE.BAL","4",8
"372","ABIE.BAL","5",197
"372","ABIE.BAL","6",596
"372","ABIE.BAL","7",1351
"372","ABIE.BAL","8",117
"372","ABIE.BAL","9",29
"372","ABIE.BAL","10",0
"373","ABIE.BAL","1",29
"373","ABIE.BAL","2",4
"373","ABIE.BAL","3",65
"373","ABIE.BAL","4",5
"373","ABIE.BAL","5",130
"373","ABIE.BAL","6",431
"373","ABIE.BAL","7",992
"373","ABIE.BAL","8",72
"373","ABIE.BAL","9",25
"373","ABIE.BAL","10",0
"375","ABIE.BAL","1",80
"375","ABIE.BAL","2",10
"375","ABIE.BAL","3",199
"375","ABIE.BAL","4",14
"375","ABIE.BAL","5",322
"375","ABIE.BAL","6",1256
"375","ABIE.BAL","7",2739
"375","ABIE.BAL","8",188
"375","ABIE.BAL","9",78
"375","ABIE.BAL","10",0
"376","ABIE.BAL","1",24
"376","ABIE.BAL","2",4
"376","ABIE.BAL","3",46
"376","ABIE.BAL","4",5
"376","ABIE.BAL","5",140
"376","ABIE.BAL","6",382
"376","ABIE.BAL","7",912
"376","ABIE.BAL","8",77
"376","ABIE.BAL","9",17
"376","ABIE.BAL","10",0
"380","ABIE.BAL","1",83
"380","ABIE.BAL","2",8
"380","ABIE.BAL","3",164
"380","ABIE.BAL","4",12
"380","ABIE.BAL","5",411
"380","ABIE.BAL","6",1189
"380","ABIE.BAL","7",2566
"380","ABIE.BAL","8",270
"380","ABIE.BAL","9",63
"380","ABIE.BAL","10",0
"385","ABIE.BAL","1",43
"385","ABIE.BAL","2",5
"385","ABIE.BAL","3",93
"385","ABIE.BAL","4",8
"385","ABIE.BAL","5",189
"385","ABIE.BAL","6",586
"385","ABIE.BAL","7",1334
"385","ABIE.BAL","8",95
"385","ABIE.BAL","9",34
"385","ABIE.BAL","10",0
"386","ABIE.BAL","1",48
"386","ABIE.BAL","2",6
"386","ABIE.BAL","3",113
"386","ABIE.BAL","4",10
"386","ABIE.BAL","5",233
"386","ABIE.BAL","6",752
"386","ABIE.BAL","7",1698
"386","ABIE.BAL","8",120
"386","ABIE.BAL","9",43
"386","ABIE.BAL","10",0
"387","ABIE.BAL","1",123
"387","ABIE.BAL","2",8
"387","ABIE.BAL","3",211
"387","ABIE.BAL","4",13
"387","ABIE.BAL","5",319
"387","ABIE.BAL","6",998
"387","ABIE.BAL","7",2077
"387","ABIE.BAL","8",192
"387","ABIE.BAL","9",87
"387","ABIE.BAL","10",0
"388","ABIE.BAL","1",39
"388","ABIE.BAL","2",6
"388","ABIE.BAL","3",106
"388","ABIE.BAL","4",8
"388","ABIE.BAL","5",143
"388","ABIE.BAL","6",566
"388","ABIE.BAL","7",1266
"388","ABIE.BAL","8",70
"388","ABIE.BAL","9",36
"388","ABIE.BAL","10",0
"389","ABIE.BAL","1",16
"389","ABIE.BAL","2",3
"389","ABIE.BAL","3",35
"389","ABIE.BAL","4",4
"389","ABIE.BAL","5",91
"389","ABIE.BAL","6",285
"389","ABIE.BAL","7",710
"389","ABIE.BAL","8",48
"389","ABIE.BAL","9",12
"389","ABIE.BAL","10",0
"390","ABIE.BAL","1",38
"390","ABIE.BAL","2",5
"390","ABIE.BAL","3",90
"390","ABIE.BAL","4",9
"390","ABIE.BAL","5",108
"390","ABIE.BAL","6",515
"390","ABIE.BAL","7",1161
"390","ABIE.BAL","8",58
"390","ABIE.BAL","9",37
"390","ABIE.BAL","10",0
"391","ABIE.BAL","1",6
"391","ABIE.BAL","2",1
"391","ABIE.BAL","3",16
"391","ABIE.BAL","4",1
"391","ABIE.BAL","5",44
"391","ABIE.BAL","6",144
"391","ABIE.BAL","7",380
"391","ABIE.BAL","8",19
"391","ABIE.BAL","9",6
"391","ABIE.BAL","10",0
"393","ABIE.BAL","1",17
"393","ABIE.BAL","2",1
"393","ABIE.BAL","3",38
"393","ABIE.BAL","4",2
"393","ABIE.BAL","5",60
"393","ABIE.BAL","6",233
"393","ABIE.BAL","7",548
"393","ABIE.BAL","8",36
"393","ABIE.BAL","9",19
"393","ABIE.BAL","10",0
"394","ABIE.BAL","1",64
"394","ABIE.BAL","2",10
"394","ABIE.BAL","3",150
"394","ABIE.BAL","4",12
"394","ABIE.BAL","5",252
"394","ABIE.BAL","6",868
"394","ABIE.BAL","7",1927
"394","ABIE.BAL","8",134
"394","ABIE.BAL","9",52
"394","ABIE.BAL","10",0
"397","ABIE.BAL","1",69
"397","ABIE.BAL","2",7
"397","ABIE.BAL","3",143
"397","ABIE.BAL","4",10
"397","ABIE.BAL","5",181
"397","ABIE.BAL","6",763
"397","ABIE.BAL","7",1691
"397","ABIE.BAL","8",100
"397","ABIE.BAL","9",72
"397","ABIE.BAL","10",0
"400","ABIE.BAL","1",19
"400","ABIE.BAL","2",3
"400","ABIE.BAL","3",41
"400","ABIE.BAL","4",4
"400","ABIE.BAL","5",63
"400","ABIE.BAL","6",262
"400","ABIE.BAL","7",619
"400","ABIE.BAL","8",37
"400","ABIE.BAL","9",18
"400","ABIE.BAL","10",0
"414","ABIE.BAL","1",27
"414","ABIE.BAL","2",5
"414","ABIE.BAL","3",53
"414","ABIE.BAL","4",6
"414","ABIE.BAL","5",137
"414","ABIE.BAL","6",402
"414","ABIE.BAL","7",949
"414","ABIE.BAL","8",79
"414","ABIE.BAL","9",19
"414","ABIE.BAL","10",0
"415","ABIE.BAL","1",16
"415","ABIE.BAL","2",3
"415","ABIE.BAL","3",40
"415","ABIE.BAL","4",4
"415","ABIE.BAL","5",64
"415","ABIE.BAL","6",246
"415","ABIE.BAL","7",586
"415","ABIE.BAL","8",26
"415","ABIE.BAL","9",14
"415","ABIE.BAL","10",0
"421","ABIE.BAL","1",35
"421","ABIE.BAL","2",6
"421","ABIE.BAL","3",74
"421","ABIE.BAL","4",8
"421","ABIE.BAL","5",119
"421","ABIE.BAL","6",488
"421","ABIE.BAL","7",1140
"421","ABIE.BAL","8",73
"421","ABIE.BAL","9",34
"421","ABIE.BAL","10",0
"425","ABIE.BAL","1",4
"425","ABIE.BAL","2",0
"425","ABIE.BAL","3",16
"425","ABIE.BAL","4",1
"425","ABIE.BAL","5",36
"425","ABIE.BAL","6",127
"425","ABIE.BAL","7",334
"425","ABIE.BAL","8",13
"425","ABIE.BAL","9",5
"425","ABIE.BAL","10",0
"428","ABIE.BAL","1",28
"428","ABIE.BAL","2",5
"428","ABIE.BAL","3",47
"428","ABIE.BAL","4",6
"428","ABIE.BAL","5",157
"428","ABIE.BAL","6",424
"428","ABIE.BAL","7",1031
"428","ABIE.BAL","8",90
"428","ABIE.BAL","9",17
"428","ABIE.BAL","10",0
"432","ABIE.BAL","1",42
"432","ABIE.BAL","2",7
"432","ABIE.BAL","3",94
"432","ABIE.BAL","4",9
"432","ABIE.BAL","5",182
"432","ABIE.BAL","6",621
"432","ABIE.BAL","7",1422
"432","ABIE.BAL","8",98
"432","ABIE.BAL","9",35
"432","ABIE.BAL","10",0
"433","ABIE.BAL","1",60
"433","ABIE.BAL","2",9
"433","ABIE.BAL","3",136
"433","ABIE.BAL","4",13
"433","ABIE.BAL","5",256
"433","ABIE.BAL","6",845
"433","ABIE.BAL","7",1903
"433","ABIE.BAL","8",139
"433","ABIE.BAL","9",51
"433","ABIE.BAL","10",0
"434","ABIE.BAL","1",36
"434","ABIE.BAL","2",6
"434","ABIE.BAL","3",80
"434","ABIE.BAL","4",8
"434","ABIE.BAL","5",161
"434","ABIE.BAL","6",541
"434","ABIE.BAL","7",1251
"434","ABIE.BAL","8",85
"434","ABIE.BAL","9",29
"434","ABIE.BAL","10",0
"435","ABIE.BAL","1",38
"435","ABIE.BAL","2",5
"435","ABIE.BAL","3",90
"435","ABIE.BAL","4",8
"435","ABIE.BAL","5",159
"435","ABIE.BAL","6",543
"435","ABIE.BAL","7",1228
"435","ABIE.BAL","8",85
"435","ABIE.BAL","9",34
"435","ABIE.BAL","10",0
"436","ABIE.BAL","1",11
"436","ABIE.BAL","2",1
"436","ABIE.BAL","3",27
"436","ABIE.BAL","4",2
"436","ABIE.BAL","5",48
"436","ABIE.BAL","6",174
"436","ABIE.BAL","7",412
"436","ABIE.BAL","8",24
"436","ABIE.BAL","9",11
"436","ABIE.BAL","10",0
"437","ABIE.BAL","1",31
"437","ABIE.BAL","2",3
"437","ABIE.BAL","3",73
"437","ABIE.BAL","4",5
"437","ABIE.BAL","5",130
"437","ABIE.BAL","6",448
"437","ABIE.BAL","7",1015
"437","ABIE.BAL","8",73
"437","ABIE.BAL","9",29
"437","ABIE.BAL","10",0
"438","ABIE.BAL","1",35
"438","ABIE.BAL","2",6
"438","ABIE.BAL","3",78
"438","ABIE.BAL","4",9
"438","ABIE.BAL","5",186
"438","ABIE.BAL","6",582
"438","ABIE.BAL","7",1351
"438","ABIE.BAL","8",102
"438","ABIE.BAL","9",28
"438","ABIE.BAL","10",0
"439","ABIE.BAL","1",78
"439","ABIE.BAL","2",10
"439","ABIE.BAL","3",181
"439","ABIE.BAL","4",15
"439","ABIE.BAL","5",297
"439","ABIE.BAL","6",1054
"439","ABIE.BAL","7",2309
"439","ABIE.BAL","8",165
"439","ABIE.BAL","9",71
"439","ABIE.BAL","10",0
"440","ABIE.BAL","1",50
"440","ABIE.BAL","2",7
"440","ABIE.BAL","3",114
"440","ABIE.BAL","4",9
"440","ABIE.BAL","5",208
"440","ABIE.BAL","6",724
"440","ABIE.BAL","7",1625
"440","ABIE.BAL","8",118
"440","ABIE.BAL","9",45
"440","ABIE.BAL","10",0
"444","ABIE.BAL","1",46
"444","ABIE.BAL","2",6
"444","ABIE.BAL","3",107
"444","ABIE.BAL","4",8
"444","ABIE.BAL","5",126
"444","ABIE.BAL","6",544
"444","ABIE.BAL","7",1212
"444","ABIE.BAL","8",63
"444","ABIE.BAL","9",47
"444","ABIE.BAL","10",0
"445","ABIE.BAL","1",72
"445","ABIE.BAL","2",8
"445","ABIE.BAL","3",167
"445","ABIE.BAL","4",13
"445","ABIE.BAL","5",260
"445","ABIE.BAL","6",965
"445","ABIE.BAL","7",2107
"445","ABIE.BAL","8",157
"445","ABIE.BAL","9",69
"445","ABIE.BAL","10",0
"446","ABIE.BAL","1",39
"446","ABIE.BAL","2",6
"446","ABIE.BAL","3",87
"446","ABIE.BAL","4",7
"446","ABIE.BAL","5",148
"446","ABIE.BAL","6",539
"446","ABIE.BAL","7",1222
"446","ABIE.BAL","8",82
"446","ABIE.BAL","9",34
"446","ABIE.BAL","10",0
"448","ABIE.BAL","1",23
"448","ABIE.BAL","2",4
"448","ABIE.BAL","3",47
"448","ABIE.BAL","4",5
"448","ABIE.BAL","5",122
"448","ABIE.BAL","6",365
"448","ABIE.BAL","7",879
"448","ABIE.BAL","8",63
"448","ABIE.BAL","9",18
"448","ABIE.BAL","10",0
"449","ABIE.BAL","1",36
"449","ABIE.BAL","2",6
"449","ABIE.BAL","3",85
"449","ABIE.BAL","4",8
"449","ABIE.BAL","5",152
"449","ABIE.BAL","6",550
"449","ABIE.BAL","7",1260
"449","ABIE.BAL","8",82
"449","ABIE.BAL","9",32
"449","ABIE.BAL","10",0
"450","ABIE.BAL","1",327
"450","ABIE.BAL","2",16
"450","ABIE.BAL","3",763
"450","ABIE.BAL","4",40
"450","ABIE.BAL","5",507
"450","ABIE.BAL","6",3133
"450","ABIE.BAL","7",6389
"450","ABIE.BAL","8",273
"450","ABIE.BAL","9",384
"450","ABIE.BAL","10",0
"451","ABIE.BAL","1",65
"451","ABIE.BAL","2",9
"451","ABIE.BAL","3",147
"451","ABIE.BAL","4",14
"451","ABIE.BAL","5",304
"451","ABIE.BAL","6",976
"451","ABIE.BAL","7",2197
"451","ABIE.BAL","8",172
"451","ABIE.BAL","9",57
"451","ABIE.BAL","10",0
"453","ABIE.BAL","1",70
"453","ABIE.BAL","2",9
"453","ABIE.BAL","3",169
"453","ABIE.BAL","4",10
"453","ABIE.BAL","5",166
"453","ABIE.BAL","6",821
"453","ABIE.BAL","7",1785
"453","ABIE.BAL","8",83
"453","ABIE.BAL","9",75
"453","ABIE.BAL","10",0
"462","ABIE.BAL","1",26
"462","ABIE.BAL","2",4
"462","ABIE.BAL","3",56
"462","ABIE.BAL","4",7
"462","ABIE.BAL","5",128
"462","ABIE.BAL","6",442
"462","ABIE.BAL","7",1062
"462","ABIE.BAL","8",66
"462","ABIE.BAL","9",23
"462","ABIE.BAL","10",0
"464","ABIE.BAL","1",30
"464","ABIE.BAL","2",5
"464","ABIE.BAL","3",63
"464","ABIE.BAL","4",6
"464","ABIE.BAL","5",151
"464","ABIE.BAL","6",487
"464","ABIE.BAL","7",1138
"464","ABIE.BAL","8",85
"464","ABIE.BAL","9",22
"464","ABIE.BAL","10",0
"465","ABIE.BAL","1",27
"465","ABIE.BAL","2",5
"465","ABIE.BAL","3",57
"465","ABIE.BAL","4",6
"465","ABIE.BAL","5",125
"465","ABIE.BAL","6",413
"465","ABIE.BAL","7",977
"465","ABIE.BAL","8",67
"465","ABIE.BAL","9",21
"465","ABIE.BAL","10",0
"468","ABIE.BAL","1",71
"468","ABIE.BAL","2",9
"468","ABIE.BAL","3",170
"468","ABIE.BAL","4",12
"468","ABIE.BAL","5",202
"468","ABIE.BAL","6",924
"468","ABIE.BAL","7",2016
"468","ABIE.BAL","8",114
"468","ABIE.BAL","9",78
"468","ABIE.BAL","10",0
"469","ABIE.BAL","1",98
"469","ABIE.BAL","2",12
"469","ABIE.BAL","3",234
"469","ABIE.BAL","4",15
"469","ABIE.BAL","5",259
"469","ABIE.BAL","6",1219
"469","ABIE.BAL","7",2610
"469","ABIE.BAL","8",143
"469","ABIE.BAL","9",106
"469","ABIE.BAL","10",0
"471","ABIE.BAL","1",77
"471","ABIE.BAL","2",10
"471","ABIE.BAL","3",187
"471","ABIE.BAL","4",13
"471","ABIE.BAL","5",228
