"landtype","spp","poolID","amountAtT0"
"190","ABIE.BAL","3",307
"190","ABIE.BAL","4",21
"190","ABIE.BAL","5",556
"190","ABIE.BAL","6",1524
"190","ABIE.BAL","7",3017
"190","ABIE.BAL","8",298
"190","ABIE.BAL","9",106
"190","ABIE.BAL","10",0
"191","ABIE.BAL","1",55
"191","ABIE.BAL","2",3
"191","ABIE.BAL","3",95
"191","ABIE.BAL","4",10
"191","ABIE.BAL","5",252
"191","ABIE.BAL","6",610
"191","ABIE.BAL","7",1275
"191","ABIE.BAL","8",118
"191","ABIE.BAL","9",29
"191","ABIE.BAL","10",0
"192","ABIE.BAL","1",59
"192","ABIE.BAL","2",4
"192","ABIE.BAL","3",96
"192","ABIE.BAL","4",13
"192","ABIE.BAL","5",246
"192","ABIE.BAL","6",610
"192","ABIE.BAL","7",1287
"192","ABIE.BAL","8",115
"192","ABIE.BAL","9",30
"192","ABIE.BAL","10",0
"193","ABIE.BAL","1",122
"193","ABIE.BAL","2",9
"193","ABIE.BAL","3",197
"193","ABIE.BAL","4",14
"193","ABIE.BAL","5",572
"193","ABIE.BAL","6",1173
"193","ABIE.BAL","7",2472
"193","ABIE.BAL","8",296
"193","ABIE.BAL","9",69
"193","ABIE.BAL","10",0
"194","ABIE.BAL","1",128
"194","ABIE.BAL","2",10
"194","ABIE.BAL","3",209
"194","ABIE.BAL","4",15
"194","ABIE.BAL","5",568
"194","ABIE.BAL","6",1222
"194","ABIE.BAL","7",2553
"194","ABIE.BAL","8",297
"194","ABIE.BAL","9",73
"194","ABIE.BAL","10",0
"195","ABIE.BAL","1",126
"195","ABIE.BAL","2",8
"195","ABIE.BAL","3",203
"195","ABIE.BAL","4",14
"195","ABIE.BAL","5",522
"195","ABIE.BAL","6",1180
"195","ABIE.BAL","7",2421
"195","ABIE.BAL","8",267
"195","ABIE.BAL","9",69
"195","ABIE.BAL","10",0
"196","ABIE.BAL","1",120
"196","ABIE.BAL","2",8
"196","ABIE.BAL","3",192
"196","ABIE.BAL","4",13
"196","ABIE.BAL","5",508
"196","ABIE.BAL","6",1111
"196","ABIE.BAL","7",2299
"196","ABIE.BAL","8",261
"196","ABIE.BAL","9",67
"196","ABIE.BAL","10",0
"197","ABIE.BAL","1",75
"197","ABIE.BAL","2",5
"197","ABIE.BAL","3",118
"197","ABIE.BAL","4",12
"197","ABIE.BAL","5",346
"197","ABIE.BAL","6",753
"197","ABIE.BAL","7",1597
"197","ABIE.BAL","8",169
"197","ABIE.BAL","9",39
"197","ABIE.BAL","10",0
"198","ABIE.BAL","1",99
"198","ABIE.BAL","2",6
"198","ABIE.BAL","3",171
"198","ABIE.BAL","4",12
"198","ABIE.BAL","5",493
"198","ABIE.BAL","6",1089
"198","ABIE.BAL","7",2258
"198","ABIE.BAL","8",250
"198","ABIE.BAL","9",55
"198","ABIE.BAL","10",0
"275","ABIE.BAL","1",249
"275","ABIE.BAL","2",11
"275","ABIE.BAL","3",333
"275","ABIE.BAL","4",34
"275","ABIE.BAL","5",518
"275","ABIE.BAL","6",1680
"275","ABIE.BAL","7",3251
"275","ABIE.BAL","8",279
"275","ABIE.BAL","9",125
"275","ABIE.BAL","10",0
"276","ABIE.BAL","1",205
"276","ABIE.BAL","2",11
"276","ABIE.BAL","3",293
"276","ABIE.BAL","4",27
"276","ABIE.BAL","5",447
"276","ABIE.BAL","6",1436
"276","ABIE.BAL","7",2800
"276","ABIE.BAL","8",243
"276","ABIE.BAL","9",105
"276","ABIE.BAL","10",0
"277","ABIE.BAL","1",158
"277","ABIE.BAL","2",8
"277","ABIE.BAL","3",237
"277","ABIE.BAL","4",23
"277","ABIE.BAL","5",434
"277","ABIE.BAL","6",1137
"277","ABIE.BAL","7",2280
"277","ABIE.BAL","8",245
"277","ABIE.BAL","9",82
"277","ABIE.BAL","10",0
"278","ABIE.BAL","1",107
"278","ABIE.BAL","2",6
"278","ABIE.BAL","3",178
"278","ABIE.BAL","4",17
"278","ABIE.BAL","5",294
"278","ABIE.BAL","6",863
"278","ABIE.BAL","7",1743
"278","ABIE.BAL","8",161
"278","ABIE.BAL","9",54
"278","ABIE.BAL","10",0
"283","ABIE.BAL","1",155
"283","ABIE.BAL","2",10
"283","ABIE.BAL","3",198
"283","ABIE.BAL","4",25
"283","ABIE.BAL","5",508
"283","ABIE.BAL","6",1159
"283","ABIE.BAL","7",2384
"283","ABIE.BAL","8",263
"283","ABIE.BAL","9",69
"283","ABIE.BAL","10",0
"284","ABIE.BAL","1",213
"284","ABIE.BAL","2",10
"284","ABIE.BAL","3",281
"284","ABIE.BAL","4",29
"284","ABIE.BAL","5",515
"284","ABIE.BAL","6",1540
"284","ABIE.BAL","7",3014
"284","ABIE.BAL","8",276
"284","ABIE.BAL","9",104
"284","ABIE.BAL","10",0
"288","ABIE.BAL","1",71
"288","ABIE.BAL","2",4
"288","ABIE.BAL","3",87
"288","ABIE.BAL","4",16
"288","ABIE.BAL","5",297
"288","ABIE.BAL","6",622
"288","ABIE.BAL","7",1333
"288","ABIE.BAL","8",137
"288","ABIE.BAL","9",29
"288","ABIE.BAL","10",0
