LandisData "ForC Succession"

ClimateTable
>>Time	Eco	AvgT
>>Step		(C)
0	53	0.129933737753535
0	54	0.125150932454052
0	59	0.164839092431419
0	60	0.380700811343215
0	63	0.0373191376555055
0	71	0.290750942496939
0	99	0.415196386890279
0	118	0.441871296217401
0	119	0.432741908727028
0	120	0.378671758028372
0	121	0.355222674805239
0	122	0.458189199611478
0	125	0.522788615838202
0	127	0.530167188909319
0	129	0.325195460671595
0	133	0.651039717511998
0	134	0.505595048268636
1	53	1.6864489754368
1	54	1.6898923517303
1	59	1.74987315577464
1	60	1.94872155270988
1	63	1.52792373969314
1	71	1.88461309401651
1	99	1.93869429826736
1	118	2.10412108267729
1	119	2.08127961289152
1	120	2.03065439151564
1	121	2.0095802272563
1	122	2.10001786818375
1	125	2.16199291022706
1	127	2.10079763995277
1	129	1.93660777807236
1	133	2.28922359148661
1	134	2.17326259613037
11	53	2.21448453607539
11	54	2.21908459817286
11	59	2.27532299617363
11	60	2.46447839210931
11	63	2.0617358470231
11	71	2.4072931166028
11	99	2.45370131731033
11	118	2.62277478766747
11	119	2.60119042184548
11	120	2.55044512746562
11	121	2.52864532572679
11	122	2.62075386498425
11	125	2.67663554671782
11	127	2.60593748092651
11	129	2.45298641569474
11	133	2.78866410255432
11	134	2.672287940979
21	53	2.61993302001502
21	54	2.62438876113076
21	59	2.68159779140598
21	60	2.87495803990238
21	63	2.46664950887809
21	71	2.81199819284468
21	99	2.86265911658605
21	118	3.03351817974168
21	119	3.00965945697321
21	120	2.95801302805469
21	121	2.93749448660761
21	122	3.02987247866553
21	125	3.08711179926397
21	127	3.02083184983995
21	129	2.86206091852749
21	133	3.20518366495768
21	134	3.09115815162659
31	53	2.98940234166893
31	54	2.9920403073381
31	59	3.04696981126939
31	60	3.25016287347967
31	63	2.85022700167774
31	71	3.17414569455222
31	99	3.23362350463867
31	118	3.40500538053676
31	119	3.38807251931706
31	120	3.33894364971858
31	121	3.31348497323602
31	122	3.40147115410985
31	125	3.47173691056873
31	127	3.4097281826867
31	129	3.24163869899862
31	133	3.60218930244446
31	134	3.48542785644531
41	53	3.1322636448545
41	54	3.13613022443887
41	59	3.19445846785631
41	60	3.3903702294512
41	63	2.97741808985056
41	71	3.32834900718422
41	99	3.38129202524821
41	118	3.54984131284759
41	119	3.52574428520778
41	120	3.47408702404776
41	121	3.45318945900067
41	122	3.54592821404741
41	125	3.6048385043737
41	127	3.53946971893311
41	129	3.37816220872542
41	133	3.72757506370544
41	134	3.61160063743591
51	53	3.25375519039306
51	54	3.25993956258806
51	59	3.30821895651518
51	60	3.48800361813973
51	63	3.1162165443549
51	71	3.43052288103047
51	99	3.47302836179733
51	118	3.6339036796847
51	119	3.61199470459464
51	120	3.56251908922993
51	121	3.54266025443621
51	122	3.63125439914497
51	125	3.68762418960947
51	127	3.62253075175815
51	129	3.46951618264703
51	133	3.80350009600321
51	134	3.68849682807922
61	53	3.56624183231607
61	54	3.57335912850285
61	59	3.62648470615853
61	60	3.80431033753091
61	63	3.41671806172039
61	71	3.75805102257855
61	99	3.79473016659419
61	118	3.97331450792969
61	119	3.94592280480759
61	120	3.89114167117684
61	121	3.87110577035556
61	122	3.97180468971665
61	125	4.01613955042901
61	127	3.93236343065898
61	129	3.78803843961043
61	133	4.11482048034668
61	134	3.99751877784729
