LandisData "ForC Succession"

ClimateTable
>>Time	Eco	AvgT
>>Step		(C)
0	75	-0.0101600003875323
0	76	0.0628913894867645
0	77	0.0666168848673503
0	78	0.0515078714062841
0	80	-0.0360218604405721
0	113	0.848456965314307
0	114	1.01704571145751
0	115	1.02449015727731
0	117	0.873902735782912
0	139	1.14644666918319
0	168	0.412515552510919
0	169	0.382980322583888
0	172	0.55702594746321
0	178	0.540455479232551
0	189	0.3665121058324
0	215	0.364523603753359
0	240	0.488857221189472
0	249	1.19309524264356
0	254	1.28866220744589
0	297	0.499010258664687
0	302	0.792981657121951
0	314	1.42952397903804
0	315	1.65642017956618
0	318	1.50611228062709
0	320	1.55223776041028
0	324	1.45914735900121
0	325	1.11303162905891
0	328	1.75143001118018
0	329	1.27603009281059
0	333	1.19209178554509
0	334	1.05238580648545
0	335	1.08585514671339
0	337	1.32311108171385
0	338	1.1520421848735
0	339	1.89736921954586
0	350	0.867827617873748
0	352	2.21949438804492
0	353	2.24583773399471
0	355	1.02755592967223
0	357	2.54540118129774
0	359	1.90581908548859
0	362	1.40519467067151
0	363	1.26208572089672
0	366	1.35725082208713
0	382	1.11366020251686
0	385	2.37710984546258
0	386	2.42428121492417
0	387	2.48534291924319
0	388	2.47938215492064
0	389	2.97263738561452
0	390	2.3909440360153
0	391	2.59285564611598
0	392	2.25998153635079
0	393	2.66648941511479
0	394	2.26179921497725
0	395	2.52763952811559
0	397	2.90372426989602
0	400	2.62299478848775
0	421	2.14340847730637
0	425	2.72485953072707
1	75	1.67308352954786
1	76	1.69503464316629
1	77	1.6829429933003
1	78	1.69805933234244
1	80	1.66334871292114
1	113	2.84729348177685
1	114	3.02285431249951
1	115	3.01743831827834
1	117	2.89912762100046
1	139	3.10875568611355
1	168	2.15942636931982
1	169	2.18227342261326
1	172	2.37337807493898
1	178	2.32425466172752
1	189	2.07512822380433
1	215	2.13493571016524
1	240	2.21376318136851
1	249	3.16713311252072
1	254	3.09680755979064
1	297	2.43702387809753
1	302	2.62463271617889
1	314	3.28252873895403
1	315	3.49817779709621
1	318	3.29275569565659
1	320	3.42796077467501
1	324	3.28313456354914
1	325	3.11024083735504
1	328	3.65091685471415
1	329	3.17928346565792
1	333	3.04662812510953
1	334	2.93610353591962
1	335	2.90960250386767
1	337	3.20934220070535
1	338	2.8689991869825
1	339	3.85897723556012
1	350	2.84862446784973
1	352	4.01094877897803
1	353	4.015281785221
1	355	2.90440794626872
1	357	4.09437841930609
1	359	3.87585569168782
1	362	3.45826304526556
1	363	3.03438925743103
1	366	3.33673477172852
1	382	2.948486328125
1	385	4.20647014816154
1	386	4.25557150414101
1	387	4.24139350843599
1	388	4.27976287791603
1	389	4.57312554847903
1	390	4.22801542438405
1	391	4.31935916877374
1	392	4.08364931884266
1	393	4.43345401810773
1	394	4.12848421384597
1	395	4.29480791091919
1	397	4.49630987353441
1	400	4.5217001914978
1	421	4.23886728286743
1	425	4.12246131896973
11	75	2.12999314643288
11	76	2.14656087115418
11	77	2.13462226731437
11	78	2.14970306659254
11	80	2.11858066558838
11	113	3.2194216226408
11	114	3.39825131074573
11	115	3.39315779466887
11	117	3.27150800444863
11	139	3.4859210448272
11	168	2.58343403367842
11	169	2.60278962888294
11	172	2.79671668864134
11	178	2.74188071017464
11	189	2.48403300077487
11	215	2.57835851775275
11	240	2.64368172486623
11	249	3.54500909666881
11	254	3.53281876990331
11	297	2.82902359962463
11	302	3.01751065254211
11	314	3.68321586484076
11	315	3.89853729617301
11	318	3.70800052991835
11	320	3.82880417443812
11	324	3.68551910890115
11	325	3.51628932169267
11	328	4.0404295687236
11	329	3.55746851648603
11	333	3.38116788707966
11	334	3.27622459859568
11	335	3.24972197812074
11	337	3.58494234085083
11	338	3.20831286146286
11	339	4.23576996750836
11	350	3.19920659065247
11	352	4.38423563829109
11	353	4.40056968921142
11	355	3.25037651459376
11	357	4.47663763199729
11	359	4.25782005695245
11	362	3.84126857348851
11	363	3.47063374519348
11	366	3.68909907341003
11	382	3.2888400554657
11	385	4.55778330749339
11	386	4.60387386804235
11	387	4.6057858636795
11	388	4.65116472746197
11	389	4.93976156304522
11	390	4.57271696639915
11	391	4.66878036173379
11	392	4.43000165053776
11	393	4.79319802460643
11	394	4.47760940585616
11	395	4.66676187515259
11	397	4.8699737409266
11	400	4.89635925292969
11	421	4.585364818573
11	425	4.46841883659363
21	75	2.55688400884203
21	76	2.57677548362174
21	77	2.56760458946228
21	78	2.57966278567733
21	80	2.54703537464142
21	113	3.71140894964727
21	114	3.87994276202418
21	115	3.87374636611423
21	117	3.76180320978165
21	139	3.96344380454851
21	168	3.04118306691921
21	169	3.06243332485582
21	172	3.25377892375851
21	178	3.20142223387957
21	189	2.95302327076594
21	215	3.01864822705587
21	240	3.09749956130981
21	249	4.02584006476872
21	254	3.98747591751848
21	297	3.30979609489441
21	302	3.50029397010803
21	314	4.15486155896601
21	315	4.37509764777134
21	318	4.17273737518437
21	320	4.30303682759404
21	324	4.15380303279774
21	325	3.98250290952918
21	328	4.52364764634711
21	329	4.03926409993853
21	333	3.88015826911905
21	334	3.77098015842402
21	335	3.74419158912262
21	337	4.06882399193784
21	338	3.70228730871322
21	339	4.73011135252622
21	350	3.68889355659485
21	352	4.88932064042163
21	353	4.89798067939219
21	355	3.74249798854192
21	357	4.96868010224967
21	359	4.74972135057695
21	362	4.32372442881266
21	363	3.92633748054504
21	366	4.18742990493774
21	382	3.78658747673035
21	385	5.07055676731613
21	386	5.11788897605327
21	387	5.11138771097855
21	388	5.15318523206209
21	389	5.45107137284628
21	390	5.08663560835569
21	391	5.18351683965543
21	392	4.94145672378086
21	393	5.30722354740077
21	394	4.98933379889945
21	395	5.17316198348999
21	397	5.37687836623773
21	400	5.40241374969482
21	421	5.09947061538696
21	425	4.98572731018066
31	75	2.9007417984334
31	76	2.92069879760246
31	77	2.91078427859715
31	78	2.92373210573989
31	80	2.89079100608826
31	113	3.95884488764858
31	114	4.13195499336071
31	115	4.12656527274364
31	117	4.00934782570059
31	139	4.2181193423721
31	168	3.34471255963186
31	169	3.36553374610055
31	172	3.55794436141903
31	178	3.50355015744766
31	189	3.24208249556713
31	215	3.33920791414049
31	240	3.40091859499613
31	249	4.31062533089835
31	254	4.30614186619518
31	297	3.57840077082316
31	302	3.76628601551056
31	314	4.45982024521979
31	315	4.68596364780026
31	318	4.48116462234348
31	320	4.61254529245198
31	324	4.44481504285658
31	325	4.26945919006855
31	328	4.8360163614922
31	329	4.32787391117641
31	333	4.19831875851581
31	334	4.07149641190671
31	335	4.04301532615775
31	337	4.36305511758683
31	338	4.00061734179233
31	339	5.04352992823379
31	350	3.96114611625671
31	352	5.20002562252443
31	353	5.20946204724736
31	355	4.02913139661153
31	357	5.28111010036249
31	359	5.06258210914897
31	362	4.62846676508586
31	363	4.24581003189087
31	366	4.50212478637695
31	382	4.09963989257813
31	385	5.38414435913426
31	386	5.43150704690713
31	387	5.42514449761007
31	388	5.46619606018066
31	389	5.76329514456958
31	390	5.40072817641319
31	391	5.49640522352079
31	392	5.25670205127625
31	393	5.62036518278839
31	394	5.30386984277759
31	395	5.48343896865845
31	397	5.68766910273854
31	400	5.71307582855225
31	421	5.41342878341675
31	425	5.29815578460693
41	75	3.14235286416438
41	76	3.16642932036312
41	77	3.14982585225786
41	78	3.16970862288939
41	80	3.13228057384491
41	113	4.31452120536285
41	114	4.48751147558273
41	115	4.48154602179656
41	117	4.36633275855671
41	139	4.5722153079527
41	168	3.613731198715
41	169	3.63582578536401
41	172	3.82397307864517
41	178	3.77744079416706
41	189	3.53578485097641
41	215	3.5897917482588
41	240	3.66567716598511
41	249	4.620803924349
41	254	4.52660187958293
41	297	3.89664157231649
41	302	4.08467614650726
41	314	4.72693290589373
41	315	4.9335548742364
41	318	4.7347724715115
41	320	4.86832038443536
41	324	4.73796218150371
41	325	4.56575694673267
41	328	5.08574462434405
41	329	4.6327189717974
41	333	4.47943717865965
41	334	4.37804514582942
41	335	4.35210451857046
41	337	4.65965569272954
41	338	4.31210947036743
41	339	5.29016652367799
41	350	4.30247259140015
41	352	5.42783262480551
41	353	5.44031966169467
41	355	4.35283873875936
41	357	5.52955309549967
41	359	5.30671272257744
41	362	4.90884192784627
41	363	4.46118688583374
41	366	4.77789735794067
41	382	4.38698530197144
41	385	5.62151913749963
41	386	5.6668896229152
41	387	5.66584986045267
41	388	5.70686837246543
41	389	5.99531590066305
41	390	5.63812748470874
41	391	5.72867176590896
41	392	5.50022658279964
41	393	5.85018524958219
41	394	5.54505902916722
41	395	5.72491455078125
41	397	5.92658582547816
41	400	5.95253524780273
41	421	5.65160417556763
41	425	5.52712726593018
51	75	3.24807900197613
51	76	3.27209811586411
51	77	3.25512533187866
51	78	3.27542177628451
51	80	3.23790625572205
51	113	4.40680743262406
51	114	4.57770075449129
51	115	4.57152687536704
51	117	4.45827198245309
51	139	4.66155505353377
51	168	3.70927533409642
51	169	3.73052826046857
51	172	3.91799964922261
51	178	3.8713797171201
51	189	3.63216089499302
51	215	3.68802581893073
51	240	3.76037000020345
51	249	4.70772438132844
51	254	4.61206193236717
51	297	3.98897409439087
51	302	4.17880654335022
51	314	4.81366148977185
51	315	5.01702099752905
51	318	4.82085394529365
51	320	4.95322462376207
51	324	4.82598400115967
51	325	4.65509368211795
51	328	5.16816237202093
51	329	4.71943640708923
51	333	4.56408181877636
51	334	4.46375762128145
51	335	4.43782962456883
51	337	4.74597374936368
51	338	4.39803868151726
51	339	5.37064774969058
51	350	4.38910627365112
51	352	5.50465679168701
51	353	5.51836592863992
51	355	4.43910057544708
51	357	5.60979006208222
51	359	5.38710892909825
51	362	4.99393631163098
51	363	4.54544591903687
51	366	4.86261701583862
51	382	4.47179841995239
51	385	5.69790797740738
51	386	5.74266691895777
51	387	5.74381312780957
51	388	5.78506424050582
51	389	6.07093730786952
51	390	5.71420179781623
51	391	5.80364333129511
51	392	5.57804961431594
51	393	5.92533688875981
51	394	5.62247992408346
51	395	5.80276346206665
51	397	6.00373826375822
51	400	6.02982540130615
51	421	5.7273383140564
51	425	5.60138082504272
61	75	3.64369779905071
61	76	3.66595876846226
61	77	3.6524336201804
61	78	3.66909264725348
61	80	3.63368349075317
61	113	4.79919197422048
61	114	4.97414995626482
61	115	4.96842703303775
61	117	4.85094023401087
61	139	5.06021407934336
61	168	4.11449964167867
61	169	4.13619671836555
61	172	4.32601701464557
61	178	4.27767776392755
61	189	4.03262761372786
61	215	4.09500098228455
61	240	4.16802892684936
61	249	5.11887440756132
61	254	5.02379870368796
61	297	4.39093844095866
61	302	4.57944631576538
61	314	5.22719745048709
61	315	5.42999866984853
61	318	5.23455530707498
61	320	5.36682482585311
61	324	5.23919853004249
61	325	5.06899419753424
61	328	5.58152770821471
61	329	5.1339750630515
61	333	4.97720916692867
61	334	4.87512386686574
61	335	4.84898110205454
61	337	5.1589669978365
61	338	4.81001966557604
61	339	5.78343897554709
61	350	4.79370594024658
61	352	5.91534842306109
61	353	5.93029113215302
61	355	4.84809810320536
61	357	6.02302600049424
61	359	5.80000824825333
61	362	5.41000009718395
61	363	4.95680379867554
61	366	5.27708292007446
61	382	4.8860969543457
61	385	6.10766066843579
61	386	6.15134270207046
61	387	6.15537030671415
61	388	6.19677381515503
61	389	6.48161026326621
61	390	6.12263525993128
61	391	6.21168626808539
61	392	5.98852451926186
61	393	6.3352005908944
61	394	6.03278750921848
61	395	6.21496915817261
61	397	6.41595450843253
61	400	6.44214525222778
61	421	6.13732004165649
61	425	6.00822758674622
