LandisData "ForC Succession"

ClimateTable
>>Time	Eco	AvgT
>>Step		(C)
0	90	1.758
0	91	1.759
0	92	1.751
0	93	1.757
0	94	1.508
0	95	1.437
0	100	1.017
0	101	1.01
0	102	1.023
0	182	1.329
0	183	1.306
0	184	0.812
0	185	0.87
0	186	1.293
0	187	1.211
0	188	1.318
0	189	0.592
0	190	0.533
0	191	1.004
0	192	1.099
0	193	0.907
0	194	0.914
0	195	0.633
0	196	0.684
0	197	0.952
0	198	0.935
0	275	0.254
0	276	0.255
0	277	0.223
0	278	0.211
0	283	0.629
0	284	0.608
0	288	0.591
0	289	0.533
1	90	3.559
1	91	3.559
1	92	3.583
1	93	3.589
1	94	3.418
1	95	3.335
1	100	2.822
1	101	2.805
1	102	2.848
1	182	3.091
1	183	3.057
1	184	2.349
1	185	2.442
1	186	3.054
1	187	2.98
1	188	3.075
1	189	2.329
1	190	2.241
1	191	2.88
1	192	3.035
1	193	2.502
1	194	2.514
1	195	2.286
1	196	2.331
1	197	2.503
1	198	2.487
1	275	1.925
1	276	1.943
1	277	1.874
1	278	1.868
1	283	2.406
1	284	2.388
1	288	2.319
1	289	2.24
11	90	4.036
11	91	4.035
11	92	4.071
11	93	4.076
11	94	3.917
11	95	3.836
11	100	3.327
11	101	3.31
11	102	3.352
11	182	3.581
11	183	3.551
11	184	2.859
11	185	2.947
11	186	3.563
11	187	3.49
11	188	3.583
11	189	2.849
11	190	2.762
11	191	3.39
11	192	3.543
11	193	3.01
11	194	3.022
11	195	2.799
11	196	2.843
11	197	3.012
11	198	2.996
11	275	2.447
11	276	2.467
11	277	2.402
11	278	2.396
11	283	2.928
11	284	2.91
11	288	2.838
11	289	2.758
21	90	4.457
21	91	4.457
21	92	4.479
21	93	4.484
21	94	4.321
21	95	4.241
21	100	3.741
21	101	3.724
21	102	3.766
21	182	3.998
21	183	3.964
21	184	3.269
21	185	3.359
21	186	3.965
21	187	3.892
21	188	3.986
21	189	3.264
21	190	3.176
21	191	3.803
21	192	3.953
21	193	3.434
21	194	3.445
21	195	3.228
21	196	3.272
21	197	3.442
21	198	3.427
21	275	2.853
21	276	2.872
21	277	2.806
21	278	2.8
21	283	3.336
21	284	3.316
21	288	3.265
21	289	3.186
31	90	4.843
31	91	4.843
31	92	4.86
31	93	4.866
31	94	4.698
31	95	4.619
31	100	4.118
31	101	4.101
31	102	4.142
31	182	4.388
31	183	4.355
31	184	3.663
31	185	3.754
31	186	4.355
31	187	4.282
31	188	4.375
31	189	3.635
31	190	3.542
31	191	4.19
31	192	4.339
31	193	3.811
31	194	3.823
31	195	3.605
31	196	3.65
31	197	3.821
31	198	3.805
31	275	3.212
31	276	3.228
31	277	3.158
31	278	3.151
31	283	3.676
31	284	3.657
31	288	3.611
31	289	3.537
41	90	5.003
41	91	5.003
41	92	5.025
41	93	5.031
41	94	4.867
41	95	4.786
41	100	4.28
41	101	4.263
41	102	4.305
41	182	4.538
41	183	4.504
41	184	3.793
41	185	3.885
41	186	4.505
41	187	4.431
41	188	4.526
41	189	3.787
41	190	3.697
41	191	4.34
41	192	4.492
41	193	3.957
41	194	3.969
41	195	3.745
41	196	3.789
41	197	3.954
41	198	3.938
41	275	3.37
41	276	3.391
41	277	3.316
41	278	3.311
41	283	3.872
41	284	3.853
41	288	3.784
41	289	3.703
51	90	5.048
51	91	5.047
51	92	5.07
51	93	5.075
51	94	4.91
51	95	4.829
51	100	4.319
51	101	4.302
51	102	4.345
51	182	4.591
51	183	4.558
51	184	3.865
51	185	3.953
51	186	4.554
51	187	4.479
51	188	4.575
51	189	3.848
51	190	3.764
51	191	4.382
51	192	4.536
51	193	4.003
51	194	4.015
51	195	3.793
51	196	3.837
51	197	4.007
51	198	3.991
51	275	3.465
51	276	3.484
51	277	3.435
51	278	3.43
51	283	3.927
51	284	3.909
51	288	3.833
51	289	3.753
61	90	5.373
61	91	5.371
61	92	5.423
61	93	5.428
61	94	5.279
61	95	5.199
61	100	4.7
61	101	4.683
61	102	4.725
61	182	4.913
61	183	4.884
61	184	4.194
61	185	4.28
61	186	4.91
61	187	4.837
61	188	4.93
61	189	4.223
61	190	4.134
61	191	4.763
61	192	4.913
61	193	4.393
61	194	4.405
61	195	4.188
61	196	4.232
61	197	4.403
61	198	4.387
61	275	3.802
61	276	3.826
61	277	3.749
61	278	3.745
61	283	4.328
61	284	4.31
61	288	4.232
61	289	4.151
