"VEG_POT","REG_ECO","ind","supTot","codInd"
"RC3","4h","RC3_4h",64.3125,147
"MS2","4h","MS2_4h",1076.25,148
"FE3","4h","FE3_4h",164.1875,149
"RB1","4h","RB1_4h",79.3125,150
"MS1","6h","MS1_6h",0.1875,151
"MA1","4h","MA1_4h",1.8125,152
"RS2","4h","RS2_4h",18.6875,153
"MF1","4h","MF1_4h",20.125,154
"RE2","4e","RE2_4e",445.6875,155
"RS2","4e","RS2_4e",796.9375,156
"MS2","4e","MS2_4e",45.4375,157
"MS2","5h","MS2_5h",6268.4375,158
"MS1","5h","MS1_5h",1094.1875,159
"MF1","5a","MF1_5a",5.625,160
"RS1","6h","RS1_6h",0.1875,161
"FO1","4h","FO1_4h",0.875,162
"RS1","5h","RS1_5h",489.75,163
"RE3","5h","RE3_5h",50.875,164
"RE3","4e","RE3_4e",127.5,165
"FE3","5h","FE3_5h",12.9375,166
"RS2","5h","RS2_5h",397,167
"RE2","5c","RE2_5c",3707.625,168
"RS2","5c","RS2_5c",6646.6875,169
"RC3","5h","RC3_5h",27.25,170
"LA4","4h","LA4_4h",0.25,171
"MS2","5c","MS2_5c",5729,172
"LA2","5a","LA2_5a",0.6875,173
"MS6","4e","MS6_4e",951.1875,174
"MS1","5i","MS1_5i",218.9375,175
"MS2","5i","MS2_5i",3738.6875,176
"MA1","5h","MA1_5h",6,177
"RE3","5c","RE3_5c",420.9375,178
"RS1","5i","RS1_5i",212.9375,179
"MF1","5i","MF1_5i",0.9375,180
"MS6","4h","MS6_4h",29.5,181
"FE3","5i","FE3_5i",15.5625,182
"RC3","5i","RC3_5i",11,183
"MS6","5h","MS6_5h",145.875,184
"ME1","6c","ME1_6c",8.5625,185
"RE1","4e","RE1_4e",1.0625,186
"RE2","5h","RE2_5h",23.3125,187
"RE3","5i","RE3_5i",10.4375,188
"RE1","5c","RE1_5c",83.25,189
"RS2","5i","RS2_5i",319.5625,190
"MS4","5i","MS4_5i",57.4375,191
"MS6","5a","MS6_5a",689.3125,192
"MS1","5a","MS1_5a",37.9375,193
"RB1","4e","RB1_4e",43.875,194
"RE3","4h","RE3_4h",5.1875,195
"RE2","5b","RE2_5b",2718.5,196
"RE3","5b","RE3_5b",931.25,197
"RS2","5b","RS2_5b",3451.6875,198
"RE2","5i","RE2_5i",21.75,199
"MS2","5b","MS2_5b",2738.5625,200
"MS6","5i","MS6_5i",1.75,201
"RE1","5b","RE1_5b",24.625,202
"MA1","5i","MA1_5i",2.375,203
"RB3","5i","RB3_5i",5,204
"LL2","5i","LL2_5i",1.625,205
"MF1","4e","MF1_4e",11.3125,206
"RS2","5f","RS2_5f",1109,207
"MS2","5f","MS2_5f",2683.0625,208
"RE2","5f","RE2_5f",110,209
"RE3","5f","RE3_5f",50.125,210
"MA1","5b","MA1_5b",5.4375,211
"MS6","5b","MS6_5b",280.8125,212
"LA2","5h","LA2_5h",0.25,213
"LA2","5i","LA2_5i",0.875,214
"RS1","5c","RS1_5c",1.25,215
"MS1","5f","MS1_5f",413.375,216
"LL4","5i","LL4_5i",0.0625,217
"RE2","4h","RE2_4h",1.25,218
"MS1","4e","MS1_4e",481.25,219
"RE1","5i","RE1_5i",1.5625,220
"MS1","4f","MS1_4f",8246.75,221
"RB1","4f","RB1_4f",458.75,222
"MJ2","5f","MJ2_5f",0.0625,223
"RE1","5h","RE1_5h",5.25,224
"RS1","4f","RS1_4f",1324.0625,225
"MS1","4g","MS1_4g",3106.1875,226
"RS1","4g","RS1_4g",592.4375,227
"FO1","4e","FO1_4e",2.0625,228
"RB1","4g","RB1_4g",121.75,229
"MS2","4g","MS2_4g",274.75,230
"RC3","4g","RC3_4g",66.4375,231
"MA1","4g","MA1_4g",2.9375,232
"RE1","5f","RE1_5f",0.9375,233
"RC3","4f","RC3_4f",516.375,234
"RS2","4g","RS2_4g",75.8125,235
"MF1","4f","MF1_4f",36.5625,236
"MS7","5f","MS7_5f",0.1875,237
"MS6","4g","MS6_4g",150.3125,238
"RE3","4g","RE3_4g",6.4375,239
"MA1","5c","MA1_5c",1.875,240
"RB1","5d","RB1_5d",5.1875,241
"RE2","4g","RE2_4g",0.5,242
"MA1","4f","MA1_4f",11.0625,243
"FE3","4g","FE3_4g",414.875,244
"RE3","4f","RE3_4f",65.875,245
"MF1","5h","MF1_5h",5.4375,246
"FE3","4f","FE3_4f",1525.5,247
"MS6","5f","MS6_5f",55.1875,248
"MS1","5c","MS1_5c",1299.0625,249
"MA1","5f","MA1_5f",0.125,250
"LA4","5a","LA4_5a",0.125,251
"FE3","5d","FE3_5d",8,252
"MS4","5f","MS4_5f",0.1875,253
"MS6","5c","MS6_5c",289.9375,254
"MJ2","5a","MJ2_5a",1,255
"MS2","4a","MS2_4a",426.375,256
"MJ2","4a","MJ2_4a",1773.25,257
"MS6","4a","MS6_4a",0.8125,258
"RC3","4a","RC3_4a",6.375,259
"FE3","4e","FE3_4e",2.5,260
"RE2","4a","RE2_4a",182.625,261
"RS2","4a","RS2_4a",734.125,262
"RB1","4a","RB1_4a",5,263
"MF1","4a","MF1_4a",33.375,264
"MA1","4a","MA1_4a",12.875,265
"RE3","4a","RE3_4a",102.5,266
"MS2","4f","MS2_4f",447.5,267
"RC3","4e","RC3_4e",1.9375,268
"RS1","4a","RS1_4a",110.5625,269
"FE3","5f","FE3_5f",1.6875,270
"MS1","4d","MS1_4d",2788.3125,271
"RE2","4d","RE2_4d",48.75,272
"RS2","4d","RS2_4d",564.1875,273
"MF1","5d","MF1_5d",6.9375,274
"RE3","4d","RE3_4d",11.25,275
"MS2","4d","MS2_4d",281.0625,276
"MF1","5f","MF1_5f",0.0625,277
"RS1","4e","RS1_4e",5.625,278
"FE3","4d","FE3_4d",387.125,279
"MS6","4d","MS6_4d",736.375,280
"RS1","5d","RS1_5d",1.625,281
"RE1","4d","RE1_4d",0.0625,282
"RP1","4e","RP1_4e",7.3125,283
"RB1","5h","RB1_5h",2,284
"RS2","4f","RS2_4f",48.625,285
"RS1","4d","RS1_4d",182.5625,286
"RS1","5f","RS1_5f",7.0625,287
"MA2","4f","MA2_4f",0.25,288
"FO1","5d","FO1_5d",0.3125,289
"MJ1","4e","MJ1_4e",0.0625,290
"FO1","4f","FO1_4f",2.5,291
"MS1","5b","MS1_5b",665.8125,292
"MF1","4g","MF1_4g",15.4375,293
"RP1","4a","RP1_4a",51.8125,294
"MF1","4d","MF1_4d",4.1875,295
"MS6","4f","MS6_4f",455.5625,296
"LA2","5c","LA2_5c",0.1875,297
"RS1","5b","RS1_5b",1.75,298
"MS4","4f","MS4_4f",1.25,299
"LA2","4a","LA2_4a",0.1875,300
"RC3","4d","RC3_4d",4.5625,301
"MF1","5c","MF1_5c",0.5,302
"MJ1","4a","MJ1_4a",31.5,303
"RP1","4d","RP1_4d",0.9375,304
"RE2","4b","RE2_4b",847,305
"MA1","4e","MA1_4e",0.0625,306
"RS2","4b","RS2_4b",2147.125,307
"MJ2","4b","MJ2_4b",8182.1875,308
"MS2","4b","MS2_4b",1015.25,309
"RE3","4b","RE3_4b",613.4375,310
"RS1","4b","RS1_4b",796.6875,311
"FE3","4a","FE3_4a",5.25,312
"RP1","5d","RP1_5d",0.9375,313
"MS2","4c","MS2_4c",1113.0625,314
"RS2","4c","RS2_4c",2898.5625,315
"MJ1","4b","MJ1_4b",4538.5625,316
"MA1","4b","MA1_4b",5.1875,317
"RE2","4c","RE2_4c",1402.4375,318
"RP1","4b","RP1_4b",154.9375,319
"RE3","4c","RE3_4c",305.9375,320
"MJ2","5b","MJ2_5b",2.5,321
"RC3","5d","RC3_5d",0.5625,322
"RC3","4b","RC3_4b",64,323
"RE1","4c","RE1_4c",2.3125,324
"MJ2","5c","MJ2_5c",55.75,325
"RB1","4d","RB1_4d",84.625,326
"MS1","4b","MS1_4b",1.4375,327
"MJ2","4c","MJ2_4c",10227.6875,328
"MJ1","5c","MJ1_5c",1.0625,329
"FE3","5a","FE3_5a",0.3125,330
"FO1","4g","FO1_4g",5,331
"RE2","4f","RE2_4f",24.9375,332
"MS1","5e","MS1_5e",1538.375,333
"MS2","5e","MS2_5e",6496.875,334
