spp,sw_hw,poolID,decayRate_litReview,decayRate_Hararuk,decayRate_CBM,q10_Hararuk,q10_CBM
PINU.BAN,sw,6,0.022,0.022,0.015,2.14,2.65
PINU.BAN,sw,7,0.004,0.004,0.003,1.231,1
PINU.BAN,sw,8,0.042,0.014,0.019,2.06,2
PINU.BAN,sw,9,,0.047,0.072,2.309,2
PINU.BAN,sw,10,,0.01,0.01,2,2
PINU.RES,sw,1,,0.345,0.355,2.415,2.65
PINU.RES,sw,2,,0.349,0.5,2.031,2
PINU.RES,sw,3,,0.225,0.144,1.154,2
PINU.RES,sw,4,,0.23,0.144,2.029,2
PINU.RES,sw,5,0.023,0.064,0.037,1.534,2
PINU.RES,sw,6,0.022,0.022,0.015,2.14,2.65
PINU.RES,sw,7,0.004,0.004,0.003,1.231,1
PINU.RES,sw,8,0.055,0.014,0.019,2.06,2
PINU.RES,sw,9,,0.047,0.072,2.309,2
PINU.RES,sw,10,,0.01,0.01,2,2
PINU.STR,sw,1,,0.345,0.355,2.415,2.65
PINU.STR,sw,2,,0.349,0.5,2.031,2
PINU.STR,sw,3,,0.225,0.144,1.154,2
PINU.STR,sw,4,,0.23,0.144,2.029,2
PINU.STR,sw,5,0.024,0.064,0.037,1.534,2
PINU.STR,sw,6,0.022,0.022,0.015,2.14,2.65
PINU.STR,sw,7,0.004,0.004,0.003,1.231,1
PINU.STR,sw,8,0.0274,0.014,0.019,2.06,2
PINU.STR,sw,9,,0.047,0.072,2.309,2
PINU.STR,sw,10,,0.01,0.01,2,2
POPU.TRE,hw,1,,0.345,0.355,2.415,2.65
POPU.TRE,hw,2,,0.349,0.5,2.031,2
POPU.TRE,hw,3,,0.225,0.144,1.154,2
POPU.TRE,hw,4,,0.23,0.144,2.029,2
POPU.TRE,hw,5,0.064,0.064,0.037,1.534,2
POPU.TRE,hw,6,0.022,0.022,0.015,2.14,2.65
POPU.TRE,hw,7,0.004,0.004,0.003,1.231,1
POPU.TRE,hw,8,0.08,0.054,0.019,1.83,2
POPU.TRE,hw,9,,0.073,0.072,2.004,2
POPU.TRE,hw,10,,0.01,0.01,2,2
QUER.RUB,hw,1,,0.345,0.355,2.415,2.65
QUER.RUB,hw,2,2.31,0.349,0.5,2.031,2
QUER.RUB,hw,3,0.215,0.225,0.144,1.154,2
QUER.RUB,hw,4,,0.23,0.144,2.029,2
QUER.RUB,hw,5,0.056,0.064,0.037,1.534,2
QUER.RUB,hw,6,0.022,0.022,0.015,2.14,2.65
QUER.RUB,hw,7,0.004,0.004,0.003,1.231,1
