ID_POE,category_order,Category,latitude,longitude,biome,reg_eco,VEG_POT,ind,codInd,Total_SOC,SOC_mineral,SOC_organic
9301007503,2,intolerant hardwood,45.156058,-73.581862,Temperate,1a,FE1,FE1_1a,496,140.434458492561,44.797626390561,95.636832102
9301006802,2,intolerant hardwood,45.388999,-74.424114,Temperate,1a,FE1,FE1_1a,496,170.840715903043,92.5987609350433,78.241954968
9301008005,2,intolerant hardwood,45.322638,-73.809453,Temperate,1a,FE1,FE1_1a,496,201.42292921955,121.78129698755,79.641632232
9301000803,2,intolerant hardwood,45.612047,-73.758247,Temperate,1a,FE1,FE1_1a,496,252.362544780566,143.063308092566,109.299236688
9301009105,3,Mixed,45.056659,-73.534495,Temperate,1a,FE1,FE1_1a,496,93.6993200956227,35.7460192396227,57.953300856
9301007203,3,Mixed,45.032367,-74.133423,Temperate,1a,FE1,FE1_1a,496,130.289464874337,22.7514887063367,107.537976168
9301009104,3,Mixed,45.055917,-73.531834,Temperate,1a,FE1,FE1_1a,496,154.708603037237,53.4069663022373,101.301636735
9301003204,1,tolerant hardwood,45.448441,-72.763678,Temperate,2b,FE1,FE1_2b,521,138.8351115432,88.2290051112,50.606106432
9301002901,1,tolerant hardwood,45.559595,-72.874664,Temperate,2b,FE1,FE1_2b,521,212.509076647225,151.728094606225,60.780982041
9301002904,1,tolerant hardwood,45.559608,-72.882866,Temperate,2b,FE1,FE1_2b,521,264.184553219706,181.949630267706,82.234922952
9301010101,1,tolerant hardwood,45.215899,-72.723284,Temperate,2c,FE1,FE1_2c,531,132.400207746504,71.6192257055037,60.780982041
9301011005,1,tolerant hardwood,45.369777,-74.067339,Temperate,1a,FE2,FE2_1a,506,61.4435140506871,36.1404608346871,25.303053216
9301011703,1,tolerant hardwood,45.434692,-74.362417,Temperate,1a,FE2,FE2_1a,506,64.0628470937289,3.28186505272884,60.780982041
9301005004,1,tolerant hardwood,45.38409,-73.962387,Temperate,1a,FE2,FE2_1a,506,66.9427846678779,22.6624415398779,44.280343128
9301008205,1,tolerant hardwood,45.057932,-73.944056,Temperate,1a,FE2,FE2_1a,506,71.8024947406379,33.8479149166378,37.954579824
9301010903,1,tolerant hardwood,45.283223,-74.195113,Temperate,1a,FE2,FE2_1a,506,78.8884823608006,34.6081392328006,44.280343128
9301011601,1,tolerant hardwood,45.380043,-74.396275,Temperate,1a,FE2,FE2_1a,506,80.3625379863695,33.0340089539695,47.3285290324
9301011201,1,tolerant hardwood,45.180425,-73.168123,Temperate,1a,FE2,FE2_1a,506,84.5718754922913,40.2915323642913,44.280343128
9002600602,1,tolerant hardwood,45.946923,-77.081959,Temperate,1a,FE2,FE2_1a,506,95.1574078474666,63.5285913274666,31.62881652
9301008203,1,tolerant hardwood,45.055093,-73.950744,Temperate,1a,FE2,FE2_1a,506,102.761344151751,52.1552377197509,50.606106432
9301007402,1,tolerant hardwood,45.170248,-73.802104,Temperate,1a,FE2,FE2_1a,506,105.032658333985,54.4265519019846,50.606106432
9301005401,1,tolerant hardwood,45.606279,-74.526396,Temperate,1a,FE2,FE2_1a,506,106.711208860957,93.1887719945574,13.5224368664
9301105001,1,tolerant hardwood,45.81727,-73.460838,Temperate,1a,FE2,FE2_1a,506,109.628155319282,77.9993387992823,31.62881652
9301005704,1,tolerant hardwood,45.594336,-74.310668,Temperate,1a,FE2,FE2_1a,506,126.503309582661,75.8972031506608,50.606106432
9301105803,1,tolerant hardwood,45.65193,-73.980037,Temperate,1a,FE2,FE2_1a,506,127.411133743531,66.6301517025305,60.780982041
9301006104,1,tolerant hardwood,45.507078,-74.083741,Temperate,1a,FE2,FE2_1a,506,131.723671778187,62.1402754341865,69.583396344
9002600506,1,tolerant hardwood,45.987059,-77.22417,Temperate,1a,FE2,FE2_1a,506,178.504340075558,121.572470339558,56.931869736
9301005503,1,tolerant hardwood,45.609457,-74.475838,Temperate,1a,FE2,FE2_1a,506,180.240959502742,104.331799854742,75.909159648
9301006404,1,tolerant hardwood,45.419541,-74.276835,Temperate,1a,FE2,FE2_1a,506,182.439467003858,43.2726743158583,139.166792688
9301001502,1,tolerant hardwood,45.564447,-73.157737,Temperate,1a,FE2,FE2_1a,506,227.831122941691,126.618910077691,101.212212864
9301007504,1,tolerant hardwood,45.158451,-73.577375,Temperate,1a,FE2,FE2_1a,506,230.001304555683,121.946225371683,108.055079184
9002600107,1,tolerant hardwood,45.822698,-77.004449,Temperate,1a,FE2,FE2_1a,506,230.038806516295,169.257824475295,60.780982041
9301000604,1,tolerant hardwood,45.758979,-73.112882,Temperate,1a,FE2,FE2_1a,506,234.526263095163,183.920156663163,50.606106432
9301003103,1,tolerant hardwood,45.42082,-72.907422,Temperate,1a,FE2,FE2_1a,506,241.168760798899,196.888417670899,44.280343128
9301009203,2,intolerant hardwood,45.220126,-73.474224,Temperate,1a,FE2,FE2_1a,506,124.752742861228,30.5786289702279,94.174113891
9301006601,2,intolerant hardwood,45.471531,-74.186545,Temperate,1a,FE2,FE2_1a,506,141.902364222442,75.5343373624423,66.36802686
9301006406,2,intolerant hardwood,45.416735,-74.273863,Temperate,1a,FE2,FE2_1a,506,315.490099014441,149.570031864441,165.92006715
9301105701,3,Mixed,45.7268,-73.818902,Temperate,1a,FE2,FE2_1a,506,174.98202181864,72.6306271806397,102.351394638
9301003005,3,Mixed,45.480368,-72.856046,Temperate,1a,FE2,FE2_1a,506,202.420840185849,180.688352364849,21.732487821
9002700302,1,tolerant hardwood,45.843216,-75.588098,Temperate,2a,FE2,FE2_2a,477,158.311727435607,126.682910915607,31.62881652
9002704204,1,tolerant hardwood,45.721342,-75.952054,Temperate,2a,FE2,FE2_2a,477,166.867116810109,128.912536986109,37.954579824
9002710301,1,tolerant hardwood,46.541622,-76.060435,Temperate,2a,FE2,FE2_2a,477,175.122201715622,156.144911803622,18.977289912
9002702002,1,tolerant hardwood,45.710368,-74.989831,Temperate,2a,FE2,FE2_2a,477,236.971709930572,192.691366802572,44.280343128
9002700505,1,tolerant hardwood,45.761778,-75.528298,Temperate,2a,FE2,FE2_2a,477,247.329350838693,209.374771014693,37.954579824
9002706006,3,Mixed,46.290206,-76.04807,Temperate,2a,FE2,FE2_2a,477,91.8570976630243,66.5540444470243,25.303053216
9201106903,1,tolerant hardwood,45.812238,-72.87957,Temperate,2b,FE2,FE2_2b,413,62.5671163114022,18.2867731834022,44.280343128
9201101605,1,tolerant hardwood,46.201515,-71.844605,Temperate,2b,FE2,FE2_2b,413,70.1487037741274,19.5425973421274,50.606106432
9002904802,1,tolerant hardwood,46.792206,-71.854989,Temperate,2b,FE2,FE2_2b,413,74.0641290529425,23.4580226209425,50.606106432
9301102410,1,tolerant hardwood,46.114103,-73.270535,Temperate,2b,FE2,FE2_2b,413,80.3861108380566,66.8792259400566,13.506884898
9002900604,1,tolerant hardwood,46.735962,-71.052759,Temperate,2b,FE2,FE2_2b,413,85.7435084377667,60.4404552217667,25.303053216
9301002802,1,tolerant hardwood,45.593718,-72.685153,Temperate,2b,FE2,FE2_2b,413,85.7921786312165,47.8375988072165,37.954579824
9201108505,1,tolerant hardwood,46.100939,-72.699943,Temperate,2b,FE2,FE2_2b,413,89.7917847508524,20.2083884068524,69.583396344
9201101101,1,tolerant hardwood,45.821137,-72.657387,Temperate,2b,FE2,FE2_2b,413,105.224974633422,73.596158113422,31.62881652
9301106104,1,tolerant hardwood,45.978358,-73.558223,Temperate,2b,FE2,FE2_2b,413,116.852224386152,91.5491711701516,25.303053216
9301105102,1,tolerant hardwood,45.861147,-73.36128,Temperate,2b,FE2,FE2_2b,413,117.618030225745,67.0119237937451,50.606106432
9201107201,1,tolerant hardwood,45.565624,-72.455692,Temperate,2b,FE2,FE2_2b,413,130.77795993102,23.2399837630203,107.537976168
9301002804,1,tolerant hardwood,45.596787,-72.686444,Temperate,2b,FE2,FE2_2b,413,130.885307840419,80.2792014084185,50.606106432
9201101104,1,tolerant hardwood,45.819909,-72.647213,Temperate,2b,FE2,FE2_2b,413,142.358512763715,91.752406331715,50.606106432
9301106204,1,tolerant hardwood,45.938141,-73.668695,Temperate,2b,FE2,FE2_2b,413,168.432879439128,130.478299615128,37.954579824
9201108002,1,tolerant hardwood,45.910226,-72.409727,Temperate,2b,FE2,FE2_2b,413,168.823965259713,86.5890423077125,82.234922952
9002905206,1,tolerant hardwood,46.789606,-71.515284,Temperate,2b,FE2,FE2_2b,413,170.524390912072,37.6833615280723,132.841029384
9301100605,1,tolerant hardwood,46.478918,-72.779216,Temperate,2b,FE2,FE2_2b,413,183.276840420615,88.7286461346151,94.548194286
9002904704,1,tolerant hardwood,46.735073,-71.594929,Temperate,2b,FE2,FE2_2b,413,190.566785243537,139.960678811537,50.606106432
9301002403,1,tolerant hardwood,45.717481,-72.547412,Temperate,2b,FE2,FE2_2b,413,196.426631393252,101.540181833252,94.88644956
9201108501,1,tolerant hardwood,46.103794,-72.71197,Temperate,2b,FE2,FE2_2b,413,204.251689123065,153.645582691065,50.606106432
9301106102,1,tolerant hardwood,45.974465,-73.55231,Temperate,2b,FE2,FE2_2b,413,214.182922409773,201.531395801773,12.651526608
9201103603,1,tolerant hardwood,45.895806,-72.666606,Temperate,2b,FE2,FE2_2b,413,217.172474104278,166.566367672278,50.606106432
9301106201,1,tolerant hardwood,45.938275,-73.681273,Temperate,2b,FE2,FE2_2b,413,223.765307215643,142.723997827643,81.041309388
9301001705,1,tolerant hardwood,45.715056,-73.023739,Temperate,2b,FE2,FE2_2b,413,269.401931895349,208.620949854349,60.780982041
9301009805,1,tolerant hardwood,45.144671,-72.713315,Temperate,2c,FE2,FE2_2c,516,69.2407531081531,24.9604099801531,44.280343128
9301003505,1,tolerant hardwood,45.492998,-72.534817,Temperate,2c,FE2,FE2_2c,516,78.1051582086992,40.1505783846991,37.954579824
9201106405,1,tolerant hardwood,45.230942,-72.233711,Temperate,2c,FE2,FE2_2c,516,94.5719239471254,62.9431074271254,31.62881652
9301003804,1,tolerant hardwood,45.263173,-72.700174,Temperate,2c,FE2,FE2_2c,516,103.738365988119,10.2788095181188,93.45955647
9201104402,1,tolerant hardwood,45.570493,-71.699864,Temperate,2c,FE2,FE2_2c,516,111.196252135866,41.6128557918664,69.583396344
9201104102,1,tolerant hardwood,45.176547,-71.966084,Temperate,2c,FE2,FE2_2c,516,112.30832075306,85.6055903330602,26.70273042
9201106004,1,tolerant hardwood,45.061637,-72.348699,Temperate,2c,FE2,FE2_2c,516,132.409553577795,100.780737057795,31.62881652
9201111104,1,tolerant hardwood,45.097368,-72.428662,Temperate,2c,FE2,FE2_2c,516,134.135533581671,96.1809537576714,37.954579824
9301003304,1,tolerant hardwood,45.449396,-72.659269,Temperate,2c,FE2,FE2_2c,516,148.205573587533,78.6221772435329,69.583396344
9201106103,1,tolerant hardwood,45.357307,-72.314574,Temperate,2c,FE2,FE2_2c,516,150.332208464146,36.8456041791462,113.486604285
9301010203,1,tolerant hardwood,45.031164,-72.611001,Temperate,2c,FE2,FE2_2c,516,161.028244609039,129.399428089039,31.62881652
9201010602,1,tolerant hardwood,45.44566,-71.468334,Temperate,2c,FE2,FE2_2c,516,165.468283886189,140.165230670189,25.303053216
9201101502,1,tolerant hardwood,45.542455,-72.011179,Temperate,2c,FE2,FE2_2c,516,168.799853536406,137.171037016406,31.62881652
9301003301,1,tolerant hardwood,45.456161,-72.66388,Temperate,2c,FE2,FE2_2c,516,170.042256209757,116.636795369757,53.40546084
9201101201,1,tolerant hardwood,45.731103,-72.115606,Temperate,2c,FE2,FE2_2c,516,177.569415949768,133.289072821768,44.280343128
9201106304,1,tolerant hardwood,45.442875,-72.1679,Temperate,2c,FE2,FE2_2c,516,186.468820359263,161.165767143263,25.303053216
9301009601,1,tolerant hardwood,45.11832,-72.79122,Temperate,2c,FE2,FE2_2c,516,192.815798350707,57.7469493707065,135.06884898
9201102303,1,tolerant hardwood,45.804295,-71.783694,Temperate,2c,FE2,FE2_2c,516,198.352944562823,43.735270858823,154.617673704
9201106302,1,tolerant hardwood,45.440558,-72.164419,Temperate,2c,FE2,FE2_2c,516,198.759868074373,110.199181818373,88.560686256
9201102101,1,tolerant hardwood,45.705085,-72.337168,Temperate,2c,FE2,FE2_2c,516,200.183208374046,117.948285422046,82.234922952
9201007406,1,tolerant hardwood,45.564427,-71.393605,Temperate,2c,FE2,FE2_2c,516,200.625205140587,112.830453303587,87.794751837
9201111103,1,tolerant hardwood,45.098245,-72.431987,Temperate,2c,FE2,FE2_2c,516,214.327122674803,157.395252938803,56.931869736
9201006904,1,tolerant hardwood,45.715217,-71.657037,Temperate,2c,FE2,FE2_2c,516,226.099048917694,143.864125965694,82.234922952
