landtype,spp,poolID,decayRate_litReview,decayRate_Hararuk,decayRate_CBM,q10_Hararuk,q10_CBM
443,ABIE.BAL,5,0.024,0.064,0.037,1.534,2
443,ABIE.BAL,6,0.022,0.022,0.015,2.14,2.65
443,ABIE.BAL,7,0.004,0.004,0.003,1.231,1
443,ABIE.BAL,8,0.027,0.014,0.019,2.06,2
443,ABIE.BAL,9,0,0.047,0.072,2.309,2
443,ABIE.BAL,10,0,0.01,0.01,2,2
444,ABIE.BAL,1,0,0.345,0.355,2.415,2.65
444,ABIE.BAL,2,0,0.349,0.5,2.031,2
444,ABIE.BAL,3,0,0.225,0.144,1.154,2
444,ABIE.BAL,4,0,0.23,0.144,2.029,2
444,ABIE.BAL,5,0.024,0.064,0.037,1.534,2
444,ABIE.BAL,6,0.022,0.022,0.015,2.14,2.65
444,ABIE.BAL,7,0.004,0.004,0.003,1.231,1
444,ABIE.BAL,8,0.027,0.014,0.019,2.06,2
444,ABIE.BAL,9,0,0.047,0.072,2.309,2
444,ABIE.BAL,10,0,0.01,0.01,2,2
445,ABIE.BAL,1,0,0.345,0.355,2.415,2.65
445,ABIE.BAL,2,0,0.349,0.5,2.031,2
445,ABIE.BAL,3,0,0.225,0.144,1.154,2
445,ABIE.BAL,4,0,0.23,0.144,2.029,2
445,ABIE.BAL,5,0.024,0.064,0.037,1.534,2
445,ABIE.BAL,6,0.022,0.022,0.015,2.14,2.65
445,ABIE.BAL,7,0.004,0.004,0.003,1.231,1
445,ABIE.BAL,8,0.027,0.014,0.019,2.06,2
445,ABIE.BAL,9,0,0.047,0.072,2.309,2
445,ABIE.BAL,10,0,0.01,0.01,2,2
446,ABIE.BAL,1,0,0.345,0.355,2.415,2.65
446,ABIE.BAL,2,0,0.349,0.5,2.031,2
446,ABIE.BAL,3,0,0.225,0.144,1.154,2
446,ABIE.BAL,4,0,0.23,0.144,2.029,2
446,ABIE.BAL,5,0.024,0.064,0.037,1.534,2
446,ABIE.BAL,6,0.022,0.022,0.015,2.14,2.65
446,ABIE.BAL,7,0.004,0.004,0.003,1.231,1
446,ABIE.BAL,8,0.027,0.014,0.019,2.06,2
446,ABIE.BAL,9,0,0.047,0.072,2.309,2
446,ABIE.BAL,10,0,0.01,0.01,2,2
448,ABIE.BAL,1,0,0.345,0.355,2.415,2.65
448,ABIE.BAL,2,0,0.349,0.5,2.031,2
448,ABIE.BAL,3,0,0.225,0.144,1.154,2
448,ABIE.BAL,4,0,0.23,0.144,2.029,2
448,ABIE.BAL,5,0.024,0.064,0.037,1.534,2
448,ABIE.BAL,6,0.022,0.022,0.015,2.14,2.65
448,ABIE.BAL,7,0.004,0.004,0.003,1.231,1
448,ABIE.BAL,8,0.027,0.014,0.019,2.06,2
448,ABIE.BAL,9,0,0.047,0.072,2.309,2
448,ABIE.BAL,10,0,0.01,0.01,2,2
449,ABIE.BAL,1,0,0.345,0.355,2.415,2.65
449,ABIE.BAL,2,0,0.349,0.5,2.031,2
449,ABIE.BAL,3,0,0.225,0.144,1.154,2
449,ABIE.BAL,4,0,0.23,0.144,2.029,2
449,ABIE.BAL,5,0.024,0.064,0.037,1.534,2
449,ABIE.BAL,6,0.022,0.022,0.015,2.14,2.65
449,ABIE.BAL,7,0.004,0.004,0.003,1.231,1
449,ABIE.BAL,8,0.027,0.014,0.019,2.06,2
449,ABIE.BAL,9,0,0.047,0.072,2.309,2
449,ABIE.BAL,10,0,0.01,0.01,2,2
451,ABIE.BAL,1,0,0.345,0.355,2.415,2.65
451,ABIE.BAL,2,0,0.349,0.5,2.031,2
451,ABIE.BAL,3,0,0.225,0.144,1.154,2
451,ABIE.BAL,4,0,0.23,0.144,2.029,2
451,ABIE.BAL,5,0.024,0.064,0.037,1.534,2
451,ABIE.BAL,6,0.022,0.022,0.015,2.14,2.65
451,ABIE.BAL,7,0.004,0.004,0.003,1.231,1
451,ABIE.BAL,8,0.027,0.014,0.019,2.06,2
451,ABIE.BAL,9,0,0.047,0.072,2.309,2
451,ABIE.BAL,10,0,0.01,0.01,2,2
453,ABIE.BAL,1,0,0.345,0.355,2.415,2.65
453,ABIE.BAL,2,0,0.349,0.5,2.031,2
453,ABIE.BAL,3,0,0.225,0.144,1.154,2
453,ABIE.BAL,4,0,0.23,0.144,2.029,2
453,ABIE.BAL,5,0.024,0.064,0.037,1.534,2
453,ABIE.BAL,6,0.022,0.022,0.015,2.14,2.65
453,ABIE.BAL,7,0.004,0.004,0.003,1.231,1
453,ABIE.BAL,8,0.027,0.014,0.019,2.06,2
453,ABIE.BAL,9,0,0.047,0.072,2.309,2
453,ABIE.BAL,10,0,0.01,0.01,2,2
462,ABIE.BAL,1,0,0.345,0.355,2.415,2.65
462,ABIE.BAL,2,0,0.349,0.5,2.031,2
462,ABIE.BAL,3,0,0.225,0.144,1.154,2
462,ABIE.BAL,4,0,0.23,0.144,2.029,2
462,ABIE.BAL,5,0.024,0.064,0.037,1.534,2
462,ABIE.BAL,6,0.022,0.022,0.015,2.14,2.65
462,ABIE.BAL,7,0.004,0.004,0.003,1.231,1
462,ABIE.BAL,8,0.027,0.014,0.019,2.06,2
462,ABIE.BAL,9,0,0.047,0.072,2.309,2
462,ABIE.BAL,10,0,0.01,0.01,2,2
468,ABIE.BAL,1,0,0.345,0.355,2.415,2.65
468,ABIE.BAL,2,0,0.349,0.5,2.031,2
468,ABIE.BAL,3,0,0.225,0.144,1.154,2
468,ABIE.BAL,4,0,0.23,0.144,2.029,2
468,ABIE.BAL,5,0.024,0.064,0.037,1.534,2
468,ABIE.BAL,6,0.022,0.022,0.015,2.14,2.65
468,ABIE.BAL,7,0.004,0.004,0.003,1.231,1
468,ABIE.BAL,8,0.027,0.014,0.019,2.06,2
468,ABIE.BAL,9,0,0.047,0.072,2.309,2
468,ABIE.BAL,10,0,0.01,0.01,2,2
469,ABIE.BAL,1,0,0.345,0.355,2.415,2.65
469,ABIE.BAL,2,0,0.349,0.5,2.031,2
469,ABIE.BAL,3,0,0.225,0.144,1.154,2
469,ABIE.BAL,4,0,0.23,0.144,2.029,2
469,ABIE.BAL,5,0.024,0.064,0.037,1.534,2
469,ABIE.BAL,6,0.022,0.022,0.015,2.14,2.65
469,ABIE.BAL,7,0.004,0.004,0.003,1.231,1
469,ABIE.BAL,8,0.027,0.014,0.019,2.06,2
469,ABIE.BAL,9,0,0.047,0.072,2.309,2
469,ABIE.BAL,10,0,0.01,0.01,2,2
471,ABIE.BAL,1,0,0.345,0.355,2.415,2.65
471,ABIE.BAL,2,0,0.349,0.5,2.031,2
471,ABIE.BAL,3,0,0.225,0.144,1.154,2
471,ABIE.BAL,4,0,0.23,0.144,2.029,2
