"simID","areaName","scenario","mgmtScenario","mgmtScenarioName","ND_scenario","ND_scenarioName","wind","BDA","fire","replicate","Time","species","BioToFPS_tonnesCTotal","areaManagedTotal_ha","areaHarvestedTotal_ha"
"01","temperate-2a-3b","baseline","generic","generic","Wind","Wind",TRUE,FALSE,FALSE,1,3,"BETU.ALL",10948.33,676368.75,20300
"01","temperate-2a-3b","baseline","generic","generic","Wind","Wind",TRUE,FALSE,FALSE,1,3,"BETU.PAP",14555.83,676368.75,20300
"01","temperate-2a-3b","baseline","generic","generic","Wind","Wind",TRUE,FALSE,FALSE,1,3,"FAGU.GRA",239.18,676368.75,20300
"01","temperate-2a-3b","baseline","generic","generic","Wind","Wind",TRUE,FALSE,FALSE,1,3,"PICE.GLA",203853.41,676368.75,20300
"01","temperate-2a-3b","baseline","generic","generic","Wind","Wind",TRUE,FALSE,FALSE,1,3,"PICE.MAR",7099.5,676368.75,20300
"01","temperate-2a-3b","baseline","generic","generic","Wind","Wind",TRUE,FALSE,FALSE,1,3,"PICE.RUB",823.58,676368.75,20300
"01","temperate-2a-3b","baseline","generic","generic","Wind","Wind",TRUE,FALSE,FALSE,1,3,"PINU.BAN",289.7,676368.75,20300
"01","temperate-2a-3b","baseline","generic","generic","Wind","Wind",TRUE,FALSE,FALSE,1,3,"PINU.RES",48431.14,676368.75,20300
"01","temperate-2a-3b","baseline","generic","generic","Wind","Wind",TRUE,FALSE,FALSE,1,3,"PINU.STR",153869.04,676368.75,20300
"01","temperate-2a-3b","baseline","generic","generic","Wind","Wind",TRUE,FALSE,FALSE,1,3,"POPU.TRE",99968.76,676368.75,20300
"01","temperate-2a-3b","baseline","generic","generic","Wind","Wind",TRUE,FALSE,FALSE,1,3,"QUER.RUB",3779.86,676368.75,20300
"01","temperate-2a-3b","baseline","generic","generic","Wind","Wind",TRUE,FALSE,FALSE,1,3,"THUJ.SPP.ALL",172797,676368.75,20300
"01","temperate-2a-3b","baseline","generic","generic","Wind","Wind",TRUE,FALSE,FALSE,1,3,"TSUG.CAN",7425.01,676368.75,20300
"01","temperate-2a-3b","baseline","generic","generic","Wind","Wind",TRUE,FALSE,FALSE,1,4,"ABIE.BAL",6365.3,676368.75,20300
"01","temperate-2a-3b","baseline","generic","generic","Wind","Wind",TRUE,FALSE,FALSE,1,4,"ACER.RUB",23863.34,676368.75,20300
"01","temperate-2a-3b","baseline","generic","generic","Wind","Wind",TRUE,FALSE,FALSE,1,4,"ACER.SAH",20910.27,676368.75,20300
"01","temperate-2a-3b","baseline","generic","generic","Wind","Wind",TRUE,FALSE,FALSE,1,4,"BETU.ALL",18511.56,676368.75,20300
"01","temperate-2a-3b","baseline","generic","generic","Wind","Wind",TRUE,FALSE,FALSE,1,4,"BETU.PAP",10309.48,676368.75,20300
"01","temperate-2a-3b","baseline","generic","generic","Wind","Wind",TRUE,FALSE,FALSE,1,4,"FAGU.GRA",3574.03,676368.75,20300
"01","temperate-2a-3b","baseline","generic","generic","Wind","Wind",TRUE,FALSE,FALSE,1,4,"PICE.GLA",241097.37,676368.75,20300
"01","temperate-2a-3b","baseline","generic","generic","Wind","Wind",TRUE,FALSE,FALSE,1,4,"PICE.MAR",20912.65,676368.75,20300
"01","temperate-2a-3b","baseline","generic","generic","Wind","Wind",TRUE,FALSE,FALSE,1,4,"PICE.RUB",150.07,676368.75,20300
"01","temperate-2a-3b","baseline","generic","generic","Wind","Wind",TRUE,FALSE,FALSE,1,4,"PINU.BAN",152.13,676368.75,20300
"01","temperate-2a-3b","baseline","generic","generic","Wind","Wind",TRUE,FALSE,FALSE,1,4,"PINU.RES",6693.59,676368.75,20300
"01","temperate-2a-3b","baseline","generic","generic","Wind","Wind",TRUE,FALSE,FALSE,1,4,"PINU.STR",254722.97,676368.75,20300
"01","temperate-2a-3b","baseline","generic","generic","Wind","Wind",TRUE,FALSE,FALSE,1,4,"POPU.TRE",23925.1,676368.75,20300
"01","temperate-2a-3b","baseline","generic","generic","Wind","Wind",TRUE,FALSE,FALSE,1,4,"QUER.RUB",6300.45,676368.75,20300
"01","temperate-2a-3b","baseline","generic","generic","Wind","Wind",TRUE,FALSE,FALSE,1,4,"THUJ.SPP.ALL",130680.09,676368.75,20300
"01","temperate-2a-3b","baseline","generic","generic","Wind","Wind",TRUE,FALSE,FALSE,1,4,"TSUG.CAN",5730.87,676368.75,20300
"01","temperate-2a-3b","baseline","generic","generic","Wind","Wind",TRUE,FALSE,FALSE,1,5,"ABIE.BAL",14829.09,676368.75,20306.25
"01","temperate-2a-3b","baseline","generic","generic","Wind","Wind",TRUE,FALSE,FALSE,1,5,"ACER.RUB",17098.91,676368.75,20306.25
"01","temperate-2a-3b","baseline","generic","generic","Wind","Wind",TRUE,FALSE,FALSE,1,5,"ACER.SAH",18650.56,676368.75,20306.25
"01","temperate-2a-3b","baseline","generic","generic","Wind","Wind",TRUE,FALSE,FALSE,1,5,"BETU.ALL",15254.54,676368.75,20306.25
"01","temperate-2a-3b","baseline","generic","generic","Wind","Wind",TRUE,FALSE,FALSE,1,5,"BETU.PAP",11159.32,676368.75,20306.25
"01","temperate-2a-3b","baseline","generic","generic","Wind","Wind",TRUE,FALSE,FALSE,1,5,"FAGU.GRA",583.75,676368.75,20306.25
"01","temperate-2a-3b","baseline","generic","generic","Wind","Wind",TRUE,FALSE,FALSE,1,5,"LARI.LAR",0,676368.75,20306.25
"01","temperate-2a-3b","baseline","generic","generic","Wind","Wind",TRUE,FALSE,FALSE,1,5,"PICE.GLA",246945.61,676368.75,20306.25
"01","temperate-2a-3b","baseline","generic","generic","Wind","Wind",TRUE,FALSE,FALSE,1,5,"PICE.MAR",33203.32,676368.75,20306.25
"01","temperate-2a-3b","baseline","generic","generic","Wind","Wind",TRUE,FALSE,FALSE,1,5,"PICE.RUB",4178.15,676368.75,20306.25
"01","temperate-2a-3b","baseline","generic","generic","Wind","Wind",TRUE,FALSE,FALSE,1,5,"PINU.BAN",87.01,676368.75,20306.25
"01","temperate-2a-3b","baseline","generic","generic","Wind","Wind",TRUE,FALSE,FALSE,1,5,"PINU.RES",3574.98,676368.75,20306.25
"01","temperate-2a-3b","baseline","generic","generic","Wind","Wind",TRUE,FALSE,FALSE,1,5,"PINU.STR",226855.67,676368.75,20306.25
"01","temperate-2a-3b","baseline","generic","generic","Wind","Wind",TRUE,FALSE,FALSE,1,5,"POPU.TRE",23158.33,676368.75,20306.25
"01","temperate-2a-3b","baseline","generic","generic","Wind","Wind",TRUE,FALSE,FALSE,1,5,"QUER.RUB",1242.47,676368.75,20306.25
"01","temperate-2a-3b","baseline","generic","generic","Wind","Wind",TRUE,FALSE,FALSE,1,5,"THUJ.SPP.ALL",102651.37,676368.75,20306.25
"01","temperate-2a-3b","baseline","generic","generic","Wind","Wind",TRUE,FALSE,FALSE,1,5,"TSUG.CAN",32061.39,676368.75,20306.25
"01","temperate-2a-3b","baseline","generic","generic","Wind","Wind",TRUE,FALSE,FALSE,1,6,"ABIE.BAL",7882.29,676368.75,20300
"01","temperate-2a-3b","baseline","generic","generic","Wind","Wind",TRUE,FALSE,FALSE,1,6,"ACER.RUB",21481.63,676368.75,20300
"01","temperate-2a-3b","baseline","generic","generic","Wind","Wind",TRUE,FALSE,FALSE,1,6,"ACER.SAH",29730.75,676368.75,20300
"01","temperate-2a-3b","baseline","generic","generic","Wind","Wind",TRUE,FALSE,FALSE,1,6,"BETU.ALL",20050.93,676368.75,20300
"01","temperate-2a-3b","baseline","generic","generic","Wind","Wind",TRUE,FALSE,FALSE,1,6,"BETU.PAP",28564.83,676368.75,20300
"01","temperate-2a-3b","baseline","generic","generic","Wind","Wind",TRUE,FALSE,FALSE,1,6,"FAGU.GRA",74.61,676368.75,20300
"01","temperate-2a-3b","baseline","generic","generic","Wind","Wind",TRUE,FALSE,FALSE,1,6,"PICE.GLA",312338.02,676368.75,20300
"01","temperate-2a-3b","baseline","generic","generic","Wind","Wind",TRUE,FALSE,FALSE,1,6,"PICE.MAR",2895.25,676368.75,20300
"01","temperate-2a-3b","baseline","generic","generic","Wind","Wind",TRUE,FALSE,FALSE,1,6,"PICE.RUB",2585.11,676368.75,20300
"01","temperate-2a-3b","baseline","generic","generic","Wind","Wind",TRUE,FALSE,FALSE,1,6,"PINU.BAN",203.27,676368.75,20300
"01","temperate-2a-3b","baseline","generic","generic","Wind","Wind",TRUE,FALSE,FALSE,1,6,"PINU.RES",9906.95,676368.75,20300
"01","temperate-2a-3b","baseline","generic","generic","Wind","Wind",TRUE,FALSE,FALSE,1,6,"PINU.STR",247478.07,676368.75,20300
"01","temperate-2a-3b","baseline","generic","generic","Wind","Wind",TRUE,FALSE,FALSE,1,6,"POPU.TRE",57843.3,676368.75,20300
"01","temperate-2a-3b","baseline","generic","generic","Wind","Wind",TRUE,FALSE,FALSE,1,6,"QUER.RUB",1537.61,676368.75,20300
